id;hotel_name;hotel_city;hotel_price;hotel_type;hotel_rating;total_review;link
3000010039024;INNSIDE by Melia Yogyakarta;Yogyakarta;Rp 1.497.600;Hotels;08.06;4362;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10039024-3182x2122-FIT_AND_TRIM-593d8b6835e9ead9a7e8c6e9a2e7507b.jpeg?tr=q-40
1000000509788;The Alana Hotel Conference Center Malioboro Yogyakarta by ASTON;Yogyakarta;Rp 1.437.500;Hotels;08.07;6356;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007041-78a99192f82684bf70f7e21a9df8ab63.jpeg?tr=q-40
409746;Hotel Tentrem Yogyakarta;Yogyakarta;Rp 2.299.000;Hotels;09.00;5857;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002860-868x1024-FIT_AND_TRIM-f0f9306c6aed589fe36d2b2e3d654bb9.jpeg?tr=q-40
100215;Hyatt Regency Yogyakarta;Yogyakarta;Rp 1.770.158;Resorts;08.09;3534;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10001785-1690x1148-FIT_AND_TRIM-b480d344449ed28dca5241b57a44052e.jpeg?tr=q-40
168;Melia Purosani Yogyakarta;Yogyakarta;Rp 1.981.350;Hotels;08.07;3322;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000732-6e734f173aa8a2f68b5dfbc6a6b00ab5.jpeg?tr=q-40
344819;favehotel Kusumanegara;Yogyakarta;Rp 495.000;Hotels;08.02;5291;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10007031-23fac4fa08b587779b9f91176d544780.jpeg?tr=q-40
84796;Sahid Raya Hotel Convention Yogyakarta;Yogyakarta;Rp 535.500;Hotels;07.09;4226;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10002588-4d59f8ed7f1f5614765cb0d843868295.jpeg?tr=q-40
544602;Eastparc Hotel Yogyakarta;Yogyakarta;Rp 2.934.000;Hotels;09.00;7069;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000967-25a41477d959774f3759e84eb91806a5.jpeg?tr=q-40
289515;Royal Ambarrukmo Yogyakarta;Yogyakarta;Rp 2.855.376;Hotels;09.00;4098;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000970-740x465-FIT_AND_TRIM-d3b29e0fbf77b124e431b4f2d03fce97.jpeg?tr=q-40
4843;Grand Inna Malioboro;Yogyakarta;Rp 1.722.825;Hotels;08.06;10355;https://ik.imagekit.io/tvlk/apr-asset/dgXfoyh24ryQLRcGq00cIdKHRmotrWLNlvG-TxlcLxGkiDwaUSggleJNPRgIHCX6/hotel/asset/10000272-cfea799513723f6b8e505ecfe95c98bc.jpeg?tr=q-40
